Flinn_product_category,Flinn_product_sub_category,Flinn_product_ids,Flinn_product_names,Flinn_product_quantities,Flinn_product_prices,Flinn_product_urls,Frey_product_category,Frey_product_sub_category,Frey_product_id,Frey_product_name,Frey_product_quantity,Frey_product_price,Frey_product_url,matching_percent
Technology,3D Printers,AP9914,Emblaser 2 Laser Cutter and Engraver,1,$3345.26,https://www.flinnsci.com/emblaser-2-laser-cutter-and-engraver/ap9914/,Educational Technology,Interactive Learning - Technology,2133784,xTool M1 Smart Laser Engraver and Vinyl Cutter Deluxe Bundle with RA2 Pro,1,"$1,398.71",https://schoolspecialty.com/educational-technology/interactive-learning-technology/xtool-m1-smart-laser-engraver-and-vinyl-cutter-deluxe-bundle-with-ra2-pro-2133784,0.690316331
Technology,3D Printers,WAPPLAAL,"PLA Specialty Filament, Aluminum",1,$29.98,https://www.flinnsci.com/pla-specialty-filament-aluminum/wapplaal/,Educational Technology,Interactive Learning - Technology,2135099,"Makerbot SKETCH PLA Filament, 10 Pack",1,$701.96,https://schoolspecialty.com/educational-technology/interactive-learning-technology/makerbot-sketch-pla-filament-10-pack-2135099,0.574842712
Technology,3D Printers,WAPPLACPR,"PLA Specialty Filament, Copper",1,$29.98,https://www.flinnsci.com/pla-specialty-filament-copper/wapplacpr/,Educational Technology,Interactive Learning - Technology,2135099,"Makerbot SKETCH PLA Filament, 10 Pack",1,$701.96,https://schoolspecialty.com/educational-technology/interactive-learning-technology/makerbot-sketch-pla-filament-10-pack-2135099,0.588842712
Technology,3D Printers,WAPABSNAT,"ABS Premium Filament, White",1,$67.76,https://www.flinnsci.com/abs-premium-filament-white/wapabsnat/,Educational Technology,Interactive Learning - Technology,2134506,Flashforge White PLA Filament 1.75mm 1kg,1,$24.71,https://schoolspecialty.com/educational-technology/interactive-learning-technology/flashforge-white-pla-filament-175mm-1kg-2134506,0.599509379
Technology,3D Printers,WAPABSYLW,"ABS Premium Filament, Yellow",1,$67.76,https://www.flinnsci.com/abs-premium-filament-yellow/wapabsylw/,School - Office Supplies,Ink - Toner,1574316,"Epson Claria Premium Ink Cartridge, T410420S, Yellow",1,$23.84,https://schoolspecialty.com/school-office-supplies/ink-toner/epson-xp-830-ink-cartridge-yellow-1574316,0.58598557
Technology,3D Printers,WAPABSGRN,"ABS Premium Filament, Green",1,$67.76,https://www.flinnsci.com/abs-premium-filament-green/wapabsgrn/,Educational Technology,Interactive Learning - Technology,2134509,Flashforge Green PLA Filament 1.75mm 1kg,1,$24.71,https://schoolspecialty.com/educational-technology/interactive-learning-technology/flashforge-green-pla-filament-175mm-1kg-2134509,0.593509379
Technology,3D Printers,WAPABSRED,"ABS Premium Filament, Red",1,$67.76,https://www.flinnsci.com/abs-premium-filament-red/wapabsred/,Educational Technology,Interactive Learning - Technology,2134507,Flashforge Red PLA Filament 1.75mm 1kg,1,$24.71,https://schoolspecialty.com/educational-technology/interactive-learning-technology/flashforge-red-pla-filament-1kg-2134507,0.587509379
Technology,3D Printers,WAPABSBLA,"ABS Premium Filament, Black",1,$67.76,https://www.flinnsci.com/abs-premium-filament-black/wapabsbla/,Educational Technology,Interactive Learning - Technology,2134505,Flashforge Black PLA Filament 1.75mm 1kg,1,$24.71,https://schoolspecialty.com/educational-technology/interactive-learning-technology/flashforge-black-pla-filament-1kg-2134505,0.599509379
Technology,3D Printers,WAPABSBLU,"ABS Premium Filament, Blue",1,$67.76,https://www.flinnsci.com/abs-premium-filament-blue/wapabsblu/,Educational Technology,Interactive Learning - Technology,2134508,Flashforge Blue PLA Filament 1.75mm 1kg,1,$24.71,https://schoolspecialty.com/educational-technology/interactive-learning-technology/flashforge-blue-pla-filament-1kg-2134508,0.593509379
Technology,3D Printers,AP9425,3Doodler® DoodlePad,1,$11.22,https://www.flinnsci.com/3doodler-doodlepad/ap9425/,Science,Robotics - Coding,2091070,3Doodler EDU Start Learning Packs with 12 Pens,1,$599.00,https://schoolspecialty.com/science-supplies-and-products/robotics-coding/3doodler-edu-start-learning-packs-with-12-pens-2091070,0.498842712
Technology,3D Printers,AP9424,3Doodler® Foot Pedal,1,$21.58,https://www.flinnsci.com/3doodler-foot-pedal/ap9424/,Cleaning - Facility Supplies,Waste Supplies - Recycling,1446369,"Safco Ellipse Foot Pedal Step-On Receptacle, 3 Gallon, Plastic Liner, White",1,$106.49,https://schoolspecialty.com/cleaning-facility-supplies/waste-supplies-recycling/receptacle-1446369,0.564598632
Technology,Books & Review Materials,AP9887,Cardboard VR Headset,1,$9.22,https://www.flinnsci.com/cardboard-vr-headset/ap9887/,Educational Technology,Interactive Learning - Technology,2135105,Umety VR Headset,1,$801.71,https://schoolspecialty.com/educational-technology/interactive-learning-technology/umety-vr-headset-2135105,0.725931966
Technology,Books & Review Materials,AP9886,VR Headset,1,$12.72,https://www.flinnsci.com/vr-headset/ap9886/,Educational Technology,Interactive Learning - Technology,2135105,Umety VR Headset,1,$801.71,https://schoolspecialty.com/educational-technology/interactive-learning-technology/umety-vr-headset-2135105,0.887333333
Technology,Books & Review Materials,TC1574,Investigating Environmental Science through Inquiry,1,$61.51,https://www.flinnsci.com/investigating-environmental-science-through-inquiry/tc1574/,Science,Physics,1294697,Science First Investigating Gravity Kit,1,$131.77,https://schoolspecialty.com/science-supplies-and-products/physics/science-first-investigating-gravity-kit-1294697,0.596982213
Technology,Books & Review Materials,TC1563,Investigating Biology Through Inquiry,1,$64.64,https://www.flinnsci.com/investigating-biology-through-inquiry/tc1563/,Science,Biology - Life Science,2039703,Edvotek Investigating Synthetic Biology,1,$501.22,https://schoolspecialty.com/science-supplies-and-products/biology-life-science/edvotek-investigating-synthetic-biology-2039703,0.658842712
Technology,Books & Review Materials,TC1331,Physics with Vernier,1,$61.51,https://www.flinnsci.com/physics-with-vernier-manual/tc1331/,Science,Physics,2039716,"GSC Physics Balls, Set of 12",1,$45.74,https://schoolspecialty.com/science-supplies-and-products/physics/gsc-physics-ball-set-of-12-2039716,0.474940108
Technology,Books & Review Materials,TC1323,Physical Science with Vernier,1,$58.55,https://www.flinnsci.com/physical-science-with-vernier-manual/tc1323/,Science,Physics,2087486,"Newpath Learning Physical Science Student Learning Guides with Online Lessons, Set of 10",1,$113.62,https://schoolspecialty.com/science-supplies-and-products/physics/newpath-learning-physical-science-student-learning-guides-with-online-lessons-set-of-10-2087486,0.638410162
Technology,Books & Review Materials,TC1313,Biology with Vernier,1,$64.64,https://www.flinnsci.com/biology-with-vernier-manual/tc1313/,Science,Biology - Life Science,2039703,Edvotek Investigating Synthetic Biology,1,$501.22,https://schoolspecialty.com/science-supplies-and-products/biology-life-science/edvotek-investigating-synthetic-biology-2039703,0.486940108
Technology,Books & Review Materials,TC1567,Investigating Chemistry Through Inquiry,1,$60.52,https://www.flinnsci.com/investigating-chemistry-through-inquiry/tc1567/,Science,Chemistry,2134224,Innovating Science Thermochromism AP Chemistry Kit,1,$117.14,https://schoolspecialty.com/science-supplies-and-products/chemistry/innovating-science-thermochromism-ap-chemistry-kit-2134224,0.465333333
Technology,Books & Review Materials,TC1303,Chemistry with Vernier,1,$60.52,https://www.flinnsci.com/chemistry-with-vernier-lab-manual/tc1303/,Science,Lab Supplies,2011922,"EISCO Advanced Organic Chemistry Kit, 17 Pieces with Case",1,$409.79,https://schoolspecialty.com/science-supplies-and-products/lab-supplies/eisco-advanced-organic-chemistry-distillation-glassware-set-17-pieces-2011922,0.617170061
Technology,Books & Review Materials,AP6597,Advanced Chemistry with Vernier,1,$58.72,https://www.flinnsci.com/advanced-chemistry-using-technology/ap6597/,Science,Lab Supplies,2011922,"EISCO Advanced Organic Chemistry Kit, 17 Pieces with Case",1,$409.79,https://schoolspecialty.com/science-supplies-and-products/lab-supplies/eisco-advanced-organic-chemistry-distillation-glassware-set-17-pieces-2011922,0.711553019
Technology,Calculators,TC2325,Calculator-Based Ranger™ 2,1,$163.71,https://www.flinnsci.com/calculator-based-ranger-2/tc2325/,Cleaning - Facility Supplies,Waste Supplies - Recycling,2007944,"Rubbermaid Commercial Ranger Waste Container, Outdoor, 45 Gallon",1,"$1,098.37",https://schoolspecialty.com/cleaning-facility-supplies/waste-supplies-recycling/rubbermaid-commercial-ranger-waste-container-outdoor-45-gallon-2007944,0.450842712
Technology,Calculators,TC2507,Biology with CBL Starter Kit,1,$289.00,https://www.flinnsci.com/biology-with-cbl-starter-kit/tc2507/,School - Office Supplies,Office Equipment - Supplies,2025578,Fellowes Halo 125 Laminator with Pouch Starter Kit,1,$225.29,https://schoolspecialty.com/school-office-supplies/office-equipment-supplies/fellowes-halo-personal-laminator-2025578,0.636505334
Technology,Calculators,TC2306,TI-83 Graphing Calculator,1,$187.65,https://www.flinnsci.com/ti-83-graphing-calculator/tc2306/,School - Office Supplies,Calculators,38117,Texas Instruments TI-83 Plus Graphing Calculator,1,$159.29,https://schoolspecialty.com/school-office-supplies/calculators/texas-instruments-ti-83-plus-graphing-calculator-038117,0.836
Technology,Calculators,TC1525,CBL-2,1,$286.23,https://www.flinnsci.com/cbl-2/tc1525/,,,,,,,,
Technology,Calculators,TC1600,"TI-84 Plus CE Graphing Calculator, Classroom Package",1,$2396.08,https://www.flinnsci.com/ti-84-plus-ce-graphing-calculator-classroom-package/tc1600/,School - Office Supplies,Calculators,2016232,Texas Instruments TI-84 Plus CE Graphing Calculator Classroom Bundle,1,"$7,037.99",https://schoolspecialty.com/school-office-supplies/calculators/texas-instruments-ti-84-plus-ce-graphing-calculator-classroom-bundle-2016232,0.835661373
Technology,Calculators,TC1599,TI-84 Plus CE Graphing Calculator,1,$254.39,https://www.flinnsci.com/ti-84-plus-ce-graphing-calculator/tc1599/,School - Office Supplies,Calculators,1516415,Texas Instruments TI-84 Plus CE Graphing Calculator,1,$218.47,https://schoolspecialty.com/school-office-supplies/calculators/texas-instruments-ti-84-plus-ce-graphing-calculator-1516415,0.898857143
Technology,Calculators,TC1560,TI-Nspire™ Graphing Calculator,1,$221.00,https://www.flinnsci.com/ti-nspire-graphing-calculator/tc1560/,School - Office Supplies,Calculators,2091235,Casio FX-CG50LIH Graphing Calculator,1,$155.02,https://schoolspecialty.com/school-office-supplies/calculators/casio-fx-cg50lih-graphing-calculator-2091235,0.708598632
Technology,Document Cameras,AP7641,Document Camera,1,$1459.50,https://www.flinnsci.com/document-camera/ap7641/,Educational Technology,Cameras - Video Cameras,2088306,"IPEVO VZ-X Wireless Document Camera, 8 Megapixels, Blue",1,$675.71,https://schoolspecialty.com/educational-technology/cameras-video-cameras/ipevo-vz-x-wireless-document-camera-8-megapixels-blue-2088306,0.749142857
Technology,Forces & Equilibrium,TC1516,Dual-Range Force Sensor,1,$147.93,https://www.flinnsci.com/dual-range-force-sensor/tc1516/,Science,Lab Supplies,1532095,Eisco Force Sensor,1,$220.42,https://schoolspecialty.com/science-supplies-and-products/lab-supplies/eisco-force-sensor-1532095,0.759931966
Technology,Interface Systems & Software,TC1646,LabQuest® 3 Interface,1,$450.00,https://www.flinnsci.com/labquest-3-interface/tc1646/,Special Needs,Language - Communication,2124738,Hitch Computer Switch Interface,1,$137.17,https://schoolspecialty.com/special-needs/language-communication/hitch-computer-switch-interface-2124738,0.564842712
Technology,Interface Systems & Software,TC1421,Logger Pro® 3,1,$338.81,https://www.flinnsci.com/logger-pro-3/tc1421/,Science,Lab Supplies,2133144,NeuLog CO2 Logger Sensor,1,$392.77,https://schoolspecialty.com/science-supplies-and-products/lab-supplies/neulog-co2-logger-sensor-2133144,0.576842712
Technology,Interface Systems & Software,TC1559,LabQuest™ Mini,1,$210.00,https://www.flinnsci.com/labquest-mini/tc1559/,Special Needs,Language - Communication,2120469,Mini Carillon,1,$731.77,https://schoolspecialty.com/special-needs/language-communication/mini-carillon-2120469,0.568842712
Technology,Interface Systems & Software,TC1549,Go! Link,1,$79.57,https://www.flinnsci.com/go-link/tc1549/,Science,Biology - Life Science,2000676,CPO Science Link Cell Quest Game,1,$190.98,https://schoolspecialty.com/science-supplies-and-products/biology-life-science/cpo-science-link-cell-quest-game-2000676,0.524176046
Technology,Motion,TC1520,3-Axis Accelerometer,1,$124.06,https://www.flinnsci.com/3-axis-accelerometer/tc1520/,Science,Lab Supplies,1477526,"Science First Pocket Accelerometer, 4 X 4 X 1-1/4 in",1,$20.45,https://schoolspecialty.com/science-supplies-and-products/lab-supplies/science-first-pocket-accelerometer-1477526,0.559414141
Technology,Motion,TC1519,Low-g Accelerometer,1,$122.16,https://www.flinnsci.com/low-g-accelerometer/tc1519/,Science,Lab Supplies,1477526,"Science First Pocket Accelerometer, 4 X 4 X 1-1/4 in",1,$20.45,https://schoolspecialty.com/science-supplies-and-products/lab-supplies/science-first-pocket-accelerometer-1477526,0.581414141
Technology,Motion,TC1546,Picket Fence,1,$13.03,https://www.flinnsci.com/picket-fence/tc1546/,Furniture,Early Childhood,1532509,"ChildBrite Fence Easel, 22-1/2 x 23-1/2 Inches",1,$119.21,https://schoolspecialty.com/furniture/early-childhood/art-easels-1532509,0.513414141
Technology,Motion,TC1518,Accelerometer,1,$121.03,https://www.flinnsci.com/accelerometer/tc1518/,Science,Lab Supplies,1477526,"Science First Pocket Accelerometer, 4 X 4 X 1-1/4 in",1,$20.45,https://schoolspecialty.com/science-supplies-and-products/lab-supplies/science-first-pocket-accelerometer-1477526,0.724571429
Technology,Motion,TC1517,Vernier Photogate,1,$58.84,https://www.flinnsci.com/vernier-photogate/tc1517/,Science,Lab Supplies,2092995,Vernier Go-Direct Photogate Package,1,$95.00,https://schoolspecialty.com/science-supplies-and-products/lab-supplies/vernier-go-direct-photogate-package-2092995,0.834
Technology,Motion,AP7009,"Threaded Support Rods for Photogate, Pkg. of 2",2,$12.72,https://www.flinnsci.com/threaded-support-rods-for-photogate-pkg.-of-2/ap7009/,Science,Lab Supplies,581517,Scienceware Thermometer Support - Pack of 3,1,$21.97,https://schoolspecialty.com/science-supplies-and-products/lab-supplies/scienceware-thermometer-support-pack-of-3-581517,0.469808994
Technology,Motion,AP6998,PSWorks™ Photogate Timer,1,$410.00,https://www.flinnsci.com/psworks-photogate-timer/ap6998/,School - Office Supplies,Timers - Stopwatches,2013818,Time Timer MAX,1,$127.49,https://schoolspecialty.com/school-office-supplies/timers-stopwatches/time-timer-max-2013818,0.501606774
Technology,Sensors,AP10219,databot™ 2.0 – 10 Pack,1,$1980.75,https://www.flinnsci.com/databot--10-pack/ap10219/,Science,Elementary Science,2105830,Dash Wonder Pack,1,$269.99,https://schoolspecialty.com/science-supplies-and-products/elementary-science/dash-wonder-pack-2105830,0.563509379
Technology,Sensors,AP10218,databot™ 2.0 – 2 Pack,1,$417.00,https://www.flinnsci.com/databot--2-pack/ap10218/,Science,Elementary Science,2105830,Dash Wonder Pack,1,$269.99,https://schoolspecialty.com/science-supplies-and-products/elementary-science/dash-wonder-pack-2105830,0.563509379
Technology,Sensors,AP10217,databot™ 2.0 – Single,1,$218.92,https://www.flinnsci.com/databot--single/ap10217/,Science,Elementary Science,2102673,"Nestable Pan Balance, Single",1,$21.37,https://schoolspecialty.com/science-supplies-and-products/elementary-science/nestable-pan-balance-single-2102673,0.560842712
Technology,Sensors,TC1643,Go Direct™ Sensor Cart,1,$224.14,https://www.flinnsci.com/go-direct-sensor-cart/tc1643/,Science,Lab Supplies,2093252,Go Direct Sound Sensor,1,$98.00,https://schoolspecialty.com/science-supplies-and-products/lab-supplies/go-direct-sound-sensor-2093252,0.766410162
